z mb dmb x1 dx1 c dc l b true_mb true_x1 true_c
9.697084507400155484e-01 2.464265676357689472e+01 1.432862068345040485e-01 -1.738893526747267715e-02 7.431862953866845700e-01 -8.253553792364740939e-04 1.207506481798683792e-02 1.630838874456520315e+00 4.934472173618901225e-01 2.489803173097704203e+01 -1.662158810855754454e-01 -4.043761069592640561e-03
3.473629681712313566e-01 2.150068672722968444e+01 1.054731604168131637e-01 1.514258629463641898e-02 6.168067169595214949e-01 -1.805892222769807376e-01 4.070010792173388292e-02 3.365616999491273020e+00 -1.925423913606570114e-01 2.151983911726656373e+01 -5.386428716822177359e-02 -1.909135591039093360e-01
3.942407762714053021e-01 2.270355679352046252e+01 1.318818530761261543e-01 2.877880915580355303e-01 4.128022913247834103e-01 2.001558630901869862e-01 4.761649363170224886e-02 1.348726781558944321e+00 5.174056598522893680e-01 2.278363832964583935e+01 4.462892569221425521e-01 1.955366004947443059e-01
5.498790951183771814e-01 2.297774353868964425e+01 1.052780408358679615e-01 -9.969645405307701047e-01 8.842207639095980287e-01 -6.693104578996972309e-02 5.350805880283286686e-02 3.260597456951707329e+00 -7.796603777319881523e-01 2.309556082294148638e+01 3.447014828678593434e-01 -6.146477719040088772e-04
6.723488416355138941e-01 2.364730439614873703e+01 1.532292452087384571e-01 -1.398730674620424663e+00 4.621467358923185831e-01 -5.453231643411391577e-02 3.840693796321594661e-02 6.233652301016906705e+00 9.127779009670361487e-01 2.370439110427784257e+01 -5.370839152008257678e-01 -6.757345574339776451e-02
1.824309923497503261e-01 1.988852356474387051e+01 1.709872680032156200e-01 5.781836295226071565e-01 5.286045520949651522e-01 7.903668812316046177e-02 7.285399741345963132e-02 4.154827922983818311e+00 7.138083618193359348e-01 2.002574420915073006e+01 3.537610054030088658e-01 -5.537105031073599054e-03
4.068504728174133223e-01 2.287929666542212104e+01 1.224479085077375823e-01 -7.710154234991499766e-01 2.314989024514487737e-01 1.957755078423992212e-01 6.341348415887812506e-02 6.400516390718481441e-01 -2.498539957659030863e-01 2.285381303184612278e+01 -1.041725349977438153e+00 1.249013637442501073e-01
4.183026128262444798e-01 2.231262768838254473e+01 1.218168989988068912e-01 -5.622934530179097834e-01 3.090211068418055596e-01 5.732557931884920549e-02 4.366037095757505787e-02 2.537177615303074507e+00 9.091374068477284798e-01 2.241433417394877026e+01 -2.857859126977098096e-01 -1.019406184554980978e-02
3.480622390893148288e-01 2.237726648133287810e+01 1.225139120100240120e-01 2.217617573499195971e-01 3.078290756692257379e-01 1.536099426463504170e-01 3.762565402776073958e-02 3.792037934613780692e+00 3.480070299099537467e-01 2.233887715470814683e+01 1.473491530002491723e-01 1.421274977565682440e-01
5.788775748863586035e-01 2.311119607085364080e+01 7.983042946495566561e-02 1.490605885721868695e+00 4.369368263995110357e-01 1.687923882285771726e-02 3.584647695551564789e-02 2.377779188861774529e+00 -1.069952445953298747e+00 2.318580019203425380e+01 1.134449130331283362e+00 2.435400018044363984e-02
5.083910653344170250e-01 2.281591558907598127e+01 1.328283797738013805e-01 1.835076307884995872e+00 4.630009387512182828e-01 -1.085343890905100979e-02 3.661831739364065225e-02 4.968204144323273397e+00 1.181629590239157368e+00 2.282457721902390446e+01 2.033867130613454588e+00 -3.863178716864666684e-04
1.363478253032354981e-01 1.962125049002790078e+01 1.082660084007960599e-01 -1.839502165628646435e-01 4.251238462184314670e-02 -9.711581245118734718e-03 3.384072457050488897e-02 1.628647150728382842e+00 -9.210460337411983112e-01 1.970837590237342951e+01 -2.111568728236120907e-01 6.623742666770085497e-03
